GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Personal Finance and Expense Tracker CLI,com.financetracker.cli,RootCommand,4,3,0,0,2,1,1,1,1,1
Personal Finance and Expense Tracker CLI,com.financetracker.cli,SummaryCommand,0,89,1,1,0,15,1,3,0,3
Personal Finance and Expense Tracker CLI,com.financetracker.cli,CliFactory,0,57,0,0,0,8,0,1,0,1
Personal Finance and Expense Tracker CLI,com.financetracker.cli,AddExpenseCommand,21,45,1,1,6,11,1,2,0,2
Personal Finance and Expense Tracker CLI,com.financetracker.cli,AddIncomeCommand,30,36,1,1,9,8,1,2,0,2
Personal Finance and Expense Tracker CLI,com.financetracker.cli,AppContext,13,55,0,0,3,15,2,6,2,6
Personal Finance and Expense Tracker CLI,com.financetracker.cli,ConvertCommand,50,6,0,0,6,3,1,1,1,1
Personal Finance and Expense Tracker CLI,com.financetracker.cli,ListCommand,0,42,0,2,0,10,0,4,0,3
Personal Finance and Expense Tracker CLI,com.financetracker.cli,FilterCommand,20,70,3,3,5,17,3,3,0,3
Personal Finance and Expense Tracker CLI,com.financetracker,Main,113,50,12,6,40,10,9,5,3,2
Personal Finance and Expense Tracker CLI,com.financetracker.db,DatabaseManager,22,76,4,6,7,23,5,5,1,4
Personal Finance and Expense Tracker CLI,com.financetracker.db,TransactionRepository,44,331,4,22,11,77,4,17,0,8
Personal Finance and Expense Tracker CLI,com.financetracker.service,BudgetService,0,121,0,8,0,28,0,13,0,9
Personal Finance and Expense Tracker CLI,com.financetracker.service,TransactionService,0,88,2,12,0,19,2,8,0,3
Personal Finance and Expense Tracker CLI,com.financetracker.service,ExchangeRateService,32,151,5,11,8,38,5,7,0,4
Personal Finance and Expense Tracker CLI,com.financetracker.model,TransactionType,10,24,1,1,2,6,1,2,0,2
Personal Finance and Expense Tracker CLI,com.financetracker.model,Transaction,38,165,7,7,6,47,7,24,2,22
Personal Finance and Expense Tracker CLI,com.financetracker.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
Personal Finance and Expense Tracker CLI,com.financetracker.exception,ExchangeRateException,0,9,0,0,0,4,0,2,0,2
